region,facet,level,variable,cluster_name,value,calculation_method,contributing_countries,regional_weight
Middle East & Africa,request,0,request_count,Create comprehensive business documents and formal strategic reports,112.0,sum,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_pct,Create comprehensive business documents and formal strategic reports,0.1769408196151537,count_based_micro,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_count,Create comprehensive marketing materials and promotional content packages,90.0,sum,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_pct,Create comprehensive marketing materials and promotional content packages,0.1421845871907485,count_based_micro,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_count,"Create, modify, and improve business application dashboards and interfaces",142.0,sum,"AE,EG,IL,MA,NG,TR,ZA",0.04829682714459602
Middle East & Africa,request,0,request_pct,"Create, modify, and improve business application dashboards and interfaces",0.22433568201206988,count_based_micro,"AE,EG,IL,MA,NG,TR,ZA",0.04829682714459602
Middle East & Africa,request,0,request_count,Debug and fix API integrations and third-party service connections,244.0,sum,"AE,EG,IL,KE,MA,NG,TR,ZA",0.05251147233679007
Middle East & Africa,request,0,request_pct,Debug and fix API integrations and third-party service connections,0.3854782141615849,count_based_micro,"AE,EG,IL,KE,MA,NG,TR,ZA",0.05251147233679007
Middle East & Africa,request,0,request_count,Debug and fix errors in existing Python code,288.0,sum,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,0,request_pct,Debug and fix errors in existing Python code,0.4549906790103953,count_based_micro,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,0,request_count,Debug and fix existing trading bot code and functionality,171.0,sum,"AE,IL,NG,TR,ZA",0.0376995605986144
Middle East & Africa,request,0,request_pct,Debug and fix existing trading bot code and functionality,0.2701507156624222,count_based_micro,"AE,IL,NG,TR,ZA",0.0376995605986144
Middle East & Africa,request,0,request_count,Develop automated trading systems and technical analysis strategies,318.0,sum,"AE,DZ,IL,KE,MA,NG,SA,TR,ZA",0.05186450097149386
Middle East & Africa,request,0,request_pct,Develop automated trading systems and technical analysis strategies,0.5023855414073114,count_based_micro,"AE,DZ,IL,KE,MA,NG,SA,TR,ZA",0.05186450097149386
Middle East & Africa,request,0,request_count,Draft new emails and messages from scratch for various purposes,86.0,sum,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_pct,Draft new emails and messages from scratch for various purposes,0.13586527220449302,count_based_micro,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_count,Explain professional concepts and help create business deliverables,131.0,sum,"AE,IL,MA,NG,TR,ZA",0.0427229199974287
Middle East & Africa,request,0,request_pct,Explain professional concepts and help create business deliverables,0.2069575657998673,count_based_micro,"AE,IL,MA,NG,TR,ZA",0.0427229199974287
Middle East & Africa,request,0,request_count,"Help create, improve, and customize resumes and CVs",230.0,sum,"AE,EG,IL,KE,MA,NG,TN,TR,ZA",0.054466901815874436
Middle East & Africa,request,0,request_pct,"Help create, improve, and customize resumes and CVs",0.36336061170969064,count_based_micro,"AE,EG,IL,KE,MA,NG,TN,TR,ZA",0.054466901815874436
Middle East & Africa,request,0,request_count,Help research product prices and implement pricing systems,59.0,sum,"AE,IL,TR",0.02525054588208947
Middle East & Africa,request,0,request_pct,Help research product prices and implement pricing systems,0.09320989604726848,count_based_micro,"AE,IL,TR",0.02525054588208947
