region,facet,variable,domain,value,percentage
APAC,domain,domain_count,not_classified,58915,0.0
APAC,domain,domain_count,Software_Development,21436,46.97
APAC,domain,domain_count,Education_Training,10666,23.37
APAC,domain,domain_count,none,9139,0.0
APAC,domain,domain_count,Research_Analysis,4516,9.9
APAC,domain,domain_count,Administrative_Support,2739,6.0
APAC,domain,domain_count,Customer_Service,2479,5.43
APAC,domain,domain_count,Business_Management,1109,2.43
APAC,domain,domain_count,Creative_Communications,1021,2.24
APAC,domain,domain_count,Healthcare_Medical,738,1.62
APAC,domain,domain_count,Financial_Services,626,1.37
APAC,domain,domain_count,Professional_Services,303,0.66
Europe,domain,domain_count,not_classified,67065,0.0
Europe,domain,domain_count,Software_Development,11953,48.47
Europe,domain,domain_count,none,8584,0.0
Europe,domain,domain_count,Education_Training,4249,17.23
Europe,domain,domain_count,Research_Analysis,3011,12.21
Europe,domain,domain_count,Customer_Service,1586,6.43
Europe,domain,domain_count,Administrative_Support,1435,5.82
Europe,domain,domain_count,Business_Management,723,2.93
Europe,domain,domain_count,Healthcare_Medical,637,2.58
Europe,domain,domain_count,Financial_Services,451,1.83
Europe,domain,domain_count,Creative_Communications,427,1.73
Europe,domain,domain_count,Professional_Services,191,0.77
Latin America,domain,domain_count,not_classified,26790,0.0
Latin America,domain,domain_count,none,5918,0.0
Latin America,domain,domain_count,Software_Development,4344,40.36
Latin America,domain,domain_count,Education_Training,3094,28.75
Latin America,domain,domain_count,Administrative_Support,1479,13.74
Latin America,domain,domain_count,Research_Analysis,795,7.39
Latin America,domain,domain_count,Customer_Service,427,3.97
Latin America,domain,domain_count,Business_Management,294,2.73
Latin America,domain,domain_count,Creative_Communications,189,1.76
Latin America,domain,domain_count,Healthcare_Medical,98,0.91
Latin America,domain,domain_count,Financial_Services,28,0.26
Latin America,domain,domain_count,Professional_Services,15,0.14
Middle East & Africa,domain,domain_count,not_classified,33148,0.0
Middle East & Africa,domain,domain_count,Software_Development,4707,57.88
Middle East & Africa,domain,domain_count,none,2546,0.0
Middle East & Africa,domain,domain_count,Education_Training,2170,26.68
Middle East & Africa,domain,domain_count,Research_Analysis,628,7.72
Middle East & Africa,domain,domain_count,Customer_Service,244,3.0
Middle East & Africa,domain,domain_count,Administrative_Support,163,2.0
Middle East & Africa,domain,domain_count,Business_Management,125,1.54
Middle East & Africa,domain,domain_count,Healthcare_Medical,96,1.18
Middle East & Africa,domain,domain_count,Creative_Communications,0,0.0
Middle East & Africa,domain,domain_count,Financial_Services,0,0.0
Middle East & Africa,domain,domain_count,Professional_Services,0,0.0
North America,domain,domain_count,none,21301,0.0
North America,domain,domain_count,not_classified,21009,0.0
North America,domain,domain_count,Software_Development,15268,30.04
North America,domain,domain_count,Research_Analysis,7644,15.04
North America,domain,domain_count,Education_Training,6645,13.08
North America,domain,domain_count,Administrative_Support,5683,11.18
North America,domain,domain_count,Customer_Service,5135,10.1
North America,domain,domain_count,Creative_Communications,2542,5.0
North America,domain,domain_count,Business_Management,2484,4.89
North America,domain,domain_count,Healthcare_Medical,2457,4.83
North America,domain,domain_count,Financial_Services,2125,4.18
North America,domain,domain_count,Professional_Services,839,1.65
