region,facet,level,variable,cluster_name,value,domain
APAC,onet_task,0,onet_task_count,not_classified,58915,not_classified
APAC,onet_task,0,onet_task_count,none,9139,none
APAC,onet_task,0,onet_task_count,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,6296,Software_Development
APAC,onet_task,0,onet_task_count,assist students who need extra help with their coursework outside of class.,3955,Education_Training
APAC,onet_task,0,onet_task_count,develop instructional materials to be used by educators and instructors.,2720,Education_Training
APAC,onet_task,0,onet_task_count,prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,1998,Education_Training
APAC,onet_task,0,onet_task_count,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,1988,Research_Analysis
APAC,onet_task,0,onet_task_count,develop new software applications or customize existing applications to meet specific scientific project needs.,1745,Software_Development
APAC,onet_task,0,onet_task_count,develop or apply data mining and machine learning algorithms.,1609,Software_Development
APAC,onet_task,0,onet_task_count,confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,1591,Software_Development
APAC,onet_task,0,onet_task_count,write supporting code for web applications or web sites.,1482,Software_Development
APAC,onet_task,0,onet_task_count,modify existing programs to enhance efficiency.,1461,Software_Development
APAC,onet_task,0,onet_task_count,provide feedback and recommendations to developers on software usability and functionality.,772,Software_Development
APAC,onet_task,0,onet_task_count,develop application-specific software.,757,Software_Development
APAC,onet_task,0,onet_task_count,provide technical guidance or support for the development or troubleshooting of systems.,750,Customer_Service
APAC,onet_task,0,onet_task_count,guide clients in the development of skills or strategies for dealing with their problems.,746,Customer_Service
APAC,onet_task,0,onet_task_count,assess the usefulness of pre-developed application packages and adapt them to a user environment.,695,Software_Development
APAC,onet_task,0,onet_task_count,respond to program error messages by finding and correcting problems or terminating the program.,648,Software_Development
APAC,onet_task,0,onet_task_count,help programmers and systems analysts test and debug new programs.,597,Software_Development
APAC,onet_task,0,onet_task_count,consult with multiple stakeholders to define requirements and implement online features.,579,Administrative_Support
APAC,onet_task,0,onet_task_count,modify existing databases and database management systems or direct programmers and analysts to make changes.,532,Software_Development
APAC,onet_task,0,onet_task_count,conduct internet-based and library research.,528,Research_Analysis
APAC,onet_task,0,onet_task_count,provide professional consulting services to government or industry.,524,Business_Management
APAC,onet_task,0,onet_task_count,develop or maintain internal or external company web sites.,372,Software_Development
APAC,onet_task,0,onet_task_count,conduct research to gather information about survey topics.,347,Research_Analysis
APAC,onet_task,0,onet_task_count,provide assistance to students in college writing centers.,334,Education_Training
APAC,onet_task,0,onet_task_count,reinstall software programs or adjust settings on existing software to fix machine malfunctions.,331,Software_Development
APAC,onet_task,0,onet_task_count,configure servers to meet functional specifications.,293,Software_Development
APAC,onet_task,0,onet_task_count,discuss the treatment of problems with clients.,266,Healthcare_Medical
