region,facet,level,variable,cluster_name,value,domain
APAC,onet_task,0,onet_task_count,not_classified,58915,not_classified
APAC,onet_task,0,onet_task_count,none,9139,none
APAC,onet_task,0,onet_task_count,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,6296,Software_Development
APAC,onet_task,0,prompt_tokens_complexity_volume,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,23214.893856104187,Software_Development
APAC,onet_task,0,completion_tokens_complexity_volume,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,15117.412717799443,Software_Development
APAC,onet_task,0,cost_complexity_volume,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,14053.018757052636,Software_Development
APAC,onet_task,0,onet_task_count,assist students who need extra help with their coursework outside of class.,3955,Education_Training
APAC,onet_task,0,prompt_tokens_complexity_volume,assist students who need extra help with their coursework outside of class.,3014.364975920123,Education_Training
APAC,onet_task,0,completion_tokens_complexity_volume,assist students who need extra help with their coursework outside of class.,3136.4032821240853,Education_Training
APAC,onet_task,0,cost_complexity_volume,assist students who need extra help with their coursework outside of class.,3164.77580079048,Education_Training
APAC,onet_task,0,onet_task_count,develop instructional materials to be used by educators and instructors.,2720,Education_Training
APAC,onet_task,0,prompt_tokens_complexity_volume,develop instructional materials to be used by educators and instructors.,4538.79416949572,Education_Training
APAC,onet_task,0,completion_tokens_complexity_volume,develop instructional materials to be used by educators and instructors.,7590.379106870898,Education_Training
APAC,onet_task,0,cost_complexity_volume,develop instructional materials to be used by educators and instructors.,4648.030569725982,Education_Training
APAC,onet_task,0,onet_task_count,prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,1998,Education_Training
APAC,onet_task,0,prompt_tokens_complexity_volume,prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,248.59264993547592,Education_Training
APAC,onet_task,0,completion_tokens_complexity_volume,prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,783.757716230558,Education_Training
APAC,onet_task,0,cost_complexity_volume,prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,529.8609563094959,Education_Training
APAC,onet_task,0,onet_task_count,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,1988,Research_Analysis
APAC,onet_task,0,prompt_tokens_complexity_volume,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,3635.912486590471,Research_Analysis
APAC,onet_task,0,completion_tokens_complexity_volume,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,1787.682495202308,Research_Analysis
APAC,onet_task,0,cost_complexity_volume,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,2443.875307622489,Research_Analysis
