region,facet,level,variable,cluster_name,value,calculation_method,contributing_countries,regional_weight
APAC,request,0,request_count,Debug and fix errors in existing React applications,1673.0,sum,"AU,BD,ID,IN,JP,KR,LK,MY,NP,PH,PK,TH,VN",0.2401839721138752
APAC,request,0,request_count,"Help with PDF file processing, coding, and document operations",1161.0,sum,"AU,BD,ID,IN,JP,KR,LK,NP,NZ,PH,PK,SG,TH,TW,VN",0.254513765767335
APAC,request,0,request_count,Debug and fix errors in existing Python code,1049.0,sum,"AU,BD,ID,IN,JP,KR,MY,PH,PK,SG,TH,TW,VN",0.2496573332752718
APAC,request,0,request_count,Debug and fix software bugs in existing applications,993.0,sum,"AU,BD,ID,IN,JP,KR,MY,NP,PH,PK,SG,TH,TW,VN",0.2518584874555984
APAC,request,0,request_count,Fix styling and layout issues in React components,928.0,sum,"BD,ID,IN,JP,KR,LK,NP,PH,PK,TH,VN",0.2156799316532814
APAC,request,0,request_count,Debug and fix API integrations and third-party service connections,900.0,sum,"AU,ID,IN,JP,KR,LK,NP,PH,PK,TH,TW,VN",0.2417194922933683
APAC,request,0,request_count,Solve algorithmic programming problems and competitive coding challenges,894.0,sum,"AU,BD,IN,JP,KR,PK,SG,TH,TW,VN",0.2164938299253287
APAC,request,0,request_count,Debug and fix JavaScript syntax and runtime errors,870.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,TH,TW,VN",0.2445790227829307
APAC,request,0,request_count,Troubleshoot and fix database errors and SQL query failures,858.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,TH,TW,VN",0.2445790227829307
APAC,request,0,request_count,Provide mobile app development strategy and high-level technical guidance,810.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,SG,TH,TW,VN",0.2501518931170126
APAC,request,0,request_count,Debug and fix compilation errors and syntax bugs in programming code,802.0,sum,"AU,ID,IN,JP,KR,MY,PH,PK,SG,TH,TW,VN",0.2462171874578794
APAC,request,0,request_count,Write complete video scripts for YouTube and online video content,783.0,sum,"AU,ID,IN,JP,KR,PH,PK,TH,VN",0.2255472817871339
APAC,request,0,request_count,"Help with database design, architecture, implementation, and management",781.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,TH,TW,VN",0.2445790227829307
APAC,request,0,request_count,Review and improve existing React application code and components,781.0,sum,"AU,BD,ID,IN,JP,KR,LK,NP,PH,PK,TH,VN",0.2351232874439861
APAC,request,0,request_count,Debug and fix existing trading bot code and functionality,771.0,sum,"AU,ID,IN,JP,KR,MY,PK,SG,TH,TW,VN",0.2368081087077783
APAC,request,0,request_count,Build and develop AI chatbot systems and conversational applications,769.0,sum,"AU,ID,IN,JP,KR,MY,PK,SG,TH,VN",0.2267717580410038
APAC,request,0,request_count,"Help with API development, implementation, integration, and usage",746.0,sum,"AU,ID,IN,JP,KR,MY,PH,PK,SG,TH,TW,VN",0.2462171874578794
APAC,request,0,request_count,Enhance React component visual design and aesthetics,736.0,sum,"BD,ID,IN,JP,KR,LK,NP,PK,VN",0.1936020338125483
APAC,request,0,request_count,Fix web application UI bugs and functionality issues,711.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,SG,TH,TW,VN",0.2501518931170126
APAC,request,0,request_count,Help with comprehensive Java programming development and learning tasks,700.0,sum,"AU,ID,IN,JP,KR,LK,PH,TH,TW,VN",0.2299133016897979
APAC,request,0,request_count,Help troubleshoot git operations and GitHub repository management,654.0,sum,"AU,ID,IN,JP,KR,PK,SG,TH,TW,VN",0.2317474240378893
APAC,request,0,request_count,"Help debug, optimize, and implement machine learning models and workflows",643.0,sum,"AU,BD,ID,IN,JP,KR,MY,PK,SG,TH,TW,VN",0.2402482545251707
APAC,request,0,request_count,Help troubleshoot and fix mobile app bugs and device issues,641.0,sum,"AU,ID,IN,JP,KR,LK,PK,TH,TW,VN",0.2301092593629405
APAC,request,0,request_count,Modify and fix existing HTML files and code structures,625.0,sum,"AU,ID,IN,JP,KR,PH,PK,TH,TW,VN",0.2355836324539084
APAC,request,0,request_count,Debug and fix web development errors and technical issues,615.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,TH,TW,VN",0.2445790227829307
APAC,request,0,request_count,"Help with Android app development, debugging, and programming tasks",594.0,sum,"BD,ID,IN,JP,KR,MY,PK,TH,TW,VN",0.215232028400384
APAC,request,0,request_count,Help me build and deploy complete web applications from scratch,590.0,sum,"AU,ID,IN,JP,KR,LK,PH,PK,TH,VN",0.2294819874462671
APAC,request,0,request_count,Build and develop complete Flutter mobile applications with full features,587.0,sum,"BD,ID,IN,JP,KR,LK,MY,NP,PH,PK,TH,VN",0.2207406163231705
APAC,request,0,request_count,Help with general PHP programming tasks and troubleshooting,583.0,sum,"ID,IN,JP,KR,LK,MY,PH,PK,TH,VN",0.2150993163254514
APAC,request,0,request_count,Fix HTML CSS JavaScript layout styling and responsiveness issues,581.0,sum,"AU,ID,IN,JP,KR,LK,MY,PH,PK,TH,TW,VN",0.2445790227829307
APAC,request,0,request_count,Debug data processing and business application errors,580.0,sum,"AU,ID,IN,JP,KR,MY,PH,PK,TH,TW,VN",0.2406443171237975
APAC,request,0,request_count,Help implement and design authentication systems for web applications,579.0,sum,"AU,ID,IN,JP,KR,MY,PH,PK,TH,TW,VN",0.2406443171237975
APAC,request,0,request_count,"Provide JavaScript programming education, explanations, and code analysis",576.0,sum,"AU,ID,IN,JP,KR,PH,PK,TH,TW,VN",0.2355836324539084
APAC,request,0,request_count,Help modify colors and visual themes in web and mobile applications,575.0,sum,"AU,ID,IN,JP,KR,LK,PH,PK,TH,VN",0.2294819874462671
APAC,request,0,request_count,Help modify and troubleshoot CSS styling code for existing websites,563.0,sum,"AU,ID,IN,JP,KR,MY,PH,PK,TH,TW,VN",0.2406443171237975
APAC,request,0,request_count,Fix and improve existing websites and web applications,548.0,sum,"AU,ID,IN,JP,KR,LK,PH,PK,TH,VN",0.2294819874462671
