region,facet,level,variable,cluster_name,value,calculation_method,contributing_countries,regional_weight
Middle East & Africa,request,0,request_count,Debug and fix API integrations and third-party service connections,244.0,sum,"AE,EG,IL,KE,MA,NG,TR,ZA",0.05251147233679007
Middle East & Africa,request,0,request_count,Debug and fix errors in existing Python code,288.0,sum,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,0,request_count,Debug and fix existing trading bot code and functionality,171.0,sum,"AE,IL,NG,TR,ZA",0.0376995605986144
Middle East & Africa,request,0,request_count,Provide comprehensive blockchain and cryptocurrency technology assistance,113.0,sum,"AE,IL,NG,TR",0.03235789958257905
Middle East & Africa,request,0,request_count,Provide cryptocurrency and financial trading advice and strategies,151.0,sum,"AE,EG,NG,TR,ZA",0.03192969577830448
Middle East & Africa,request,1,request_count,Debug and fix software code errors across multiple programming languages,3695.0,sum,"AE,BH,BJ,CI,CM,DZ,EG,GH,IL,IQ,JO,KE,KW,LB,MA,MG,NG,PS,QA,RW,SA,SN,TN,TR,TZ,UG,ZA",0.07303622417557808
Middle East & Africa,request,1,request_count,Debug and fix web application errors and technical issues,1274.0,sum,"AE,BJ,CI,CM,DZ,EG,GH,IL,IQ,KE,LB,MA,MG,NG,RW,SA,SN,TN,TR,ZA",0.06965517670405415
Middle East & Africa,request,1,request_count,Develop and customize AI chatbot systems and conversation styles,574.0,sum,"AE,DZ,EG,GH,IL,IQ,KE,MA,NG,SA,TN,TR,ZA",0.06430003711790845
Middle East & Africa,request,1,request_count,"Fix and improve web and mobile application UI layouts, styling, and components",2065.0,sum,"AE,BJ,CI,CM,DZ,EG,GH,IL,IQ,JO,KE,LB,MA,MG,NG,PS,RW,SA,SN,TN,TR,UG,ZA",0.0715297347624765
Middle East & Africa,request,1,request_count,Help build complete web applications and websites from scratch,1442.0,sum,"AE,BJ,CI,CM,DZ,EG,GH,IL,IQ,JO,KE,MA,MG,NG,RW,SA,SN,TN,TR,TZ,UG,ZA,ZW",0.07129126775283205
Middle East & Africa,request,1,request_count,Help develop complete mobile applications with UI design and Flutter implementation,778.0,sum,"AE,CI,DZ,EG,GH,IL,IQ,JO,KE,MA,NG,SA,TN,TR,ZA",0.06619947869038066
Middle East & Africa,request,1,request_count,"Help develop, debug, and implement machine learning and AI systems",608.0,sum,"AE,DZ,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.05939383759774555
Middle East & Africa,request,1,request_count,"Help develop, debug, and modify web applications and frontend components",1547.0,sum,"AE,BJ,CI,CM,DZ,EG,GH,IL,IQ,JO,KE,LB,MA,MG,NG,RW,SA,SN,TN,TR,UG,ZA",0.07121143314525544
Middle East & Africa,request,1,request_count,Help set up and troubleshoot software development environments and tools,716.0,sum,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,1,request_count,"Help with API development, integration, and debugging",452.0,sum,"AE,EG,IL,KE,LB,MA,NG,TN,TR,ZA",0.05519059734949103
Middle East & Africa,request,1,request_count,"Help with Docker containerization, deployment, and development workflows",227.0,sum,"AE,EG,IL,KE,MA,NG,TN,TR",0.049125240799839084
Middle East & Africa,request,1,request_count,Help with Linux system administration and server management tasks,487.0,sum,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,1,request_count,"Help with cross-platform mobile app development, debugging, and feature implementation",1372.0,sum,"AE,CI,CM,DZ,EG,GH,IL,IQ,JO,KE,LB,MA,NG,RW,SA,SN,TN,TR,UG,ZA",0.07006057062044968
Middle East & Africa,request,1,request_count,"Help with git, GitHub, and software version management",280.0,sum,"AE,EG,IL,MA,NG,TR,ZA",0.04829682714459602
Middle East & Africa,request,1,request_count,Process and analyze visual media content including images and video files,594.0,sum,"AE,DZ,EG,IL,IQ,KE,MA,NG,SA,TN,TR,ZA",0.06233838676031162
Middle East & Africa,request,1,request_count,Provide comprehensive blockchain and cryptocurrency technology assistance,113.0,sum,"AE,IL,NG,TR",0.03235789958257905
Middle East & Africa,request,1,request_count,Provide comprehensive cloud infrastructure and web hosting technical guidance,148.0,sum,"AE,IL,MA,NG,TR,ZA",0.0427229199974287
Middle East & Africa,request,1,request_count,Provide comprehensive database development and management assistance,1468.0,sum,"AE,CM,DZ,EG,GH,IL,IQ,JO,KE,LB,MA,MG,NG,RW,SA,SN,TN,TR,ZA",0.06906108280611388
